Especie;Year;Month;Flag;Lat;Lon;Valor
FALn;1994;4;ECU;-9.5;-88.5;5
FALn;1994;4;ECU;-9.5;-86.5;13
FALn;1994;4;ECU;-8.5;-89.5;5
FALn;1994;4;ECU;-8.5;-88.5;2
FALn;1994;4;ECU;-8.5;-87.5;4
FALn;1994;4;MEX;-9.5;-84.5;7
FALn;1994;4;Other;-14.5;-84.5;2
FALn;1994;4;Other;-13.5;-85.5;4
FALn;1994;4;Other;-13.5;-84.5;4
FALn;1994;4;Other;-13.5;-82.5;1
FALn;1994;4;Other;-10.5;-87.5;5
FALn;1994;4;Other;-6.5;-89.5;1
FALn;1994;4;Other;-6.5;-88.5;2
FALn;1994;4;USA;-10.5;-95.5;9
FALn;1994;4;USA;-10.5;-94.5;6
FALn;1994;4;USA;-9.5;-95.5;6
FALn;1994;4;USA;-9.5;-93.5;2
FALn;1994;4;USA;-9.5;-89.5;2
FALn;1994;4;USA;-8.5;-97.5;9
FALn;1994;4;USA;-8.5;-93.5;2
FALn;1994;4;USA;-8.5;-88.5;4
FALn;1994;4;USA;4.5;-84.5;50
FALn;1994;4;USA;5.5;-84.5;13
FALn;1994;4;USA;6.5;-90.5;3
FALn;1994;4;USA;7.5;-85.5;2
FALn;1994;4;USA;7.5;-83.5;16
FALn;1994;4;VEN;-9.5;-87.5;5
FALn;1994;4;VEN;-6.5;-88.5;8
FALn;1994;4;VEN;5.5;-92.5;1
FALn;1994;4;VEN;5.5;-90.5;1
FALn;1994;4;VUT;-13.5;-84.5;11
FALn;1994;4;VUT;-9.5;-89.5;101
FALn;1994;4;VUT;-9.5;-88.5;3
FALn;1994;4;VUT;-8.5;-89.5;1
FALn;1994;4;VUT;-8.5;-88.5;1
FALn;1994;4;VUT;7.5;-78.5;5
FALn;1994;5;COL;-6.5;-94.5;5
FALn;1994;5;COL;-6.5;-93.5;8
FALn;1994;5;ECU;-8.5;-89.5;2
FALn;1994;5;MEX;16.5;-98.5;1
FALn;1994;5;MEX;25.5;-109.5;1
FALn;1994;5;Other;-7.5;-94.5;8
FALn;1994;5;Other;-7.5;-91.5;4
FALn;1994;5;Other;-6.5;-98.5;1
FALn;1994;5;Other;-6.5;-95.5;1
FALn;1994;5;Other;-5.5;-100.5;7
FALn;1994;5;Other;-5.5;-95.5;1
FALn;1994;5;Other;-5.5;-92.5;5
FALn;1994;5;Other;-4.5;-93.5;2
FALn;1994;5;Other;7.5;-81.5;1
FALn;1994;5;Other;7.5;-79.5;7
FALn;1994;5;USA;-11.5;-90.5;2
FALn;1994;5;USA;-10.5;-95.5;3
FALn;1994;5;USA;5.5;-77.5;38
FALn;1994;5;USA;7.5;-81.5;2
FALn;1994;5;VEN;7.5;-82.5;1
FALn;1994;5;VEN;7.5;-81.5;1
FALn;1994;5;VEN;13.5;-93.5;1
FALn;1994;5;VUT;7.5;-81.5;5
FALn;1994;5;VUT;7.5;-80.5;11
FALn;1994;6;MEX;20.5;-105.5;2
FALn;1994;6;MEX;25.5;-113.5;33
FALn;1994;6;Other;-8.5;-97.5;7
FALn;1994;6;Other;-7.5;-98.5;5
FALn;1994;6;Other;-7.5;-97.5;1
FALn;1994;6;Other;-6.5;-99.5;1
FALn;1994;6;USA;-9.5;-113.5;6
FALn;1994;6;USA;-9.5;-109.5;1
FALn;1994;6;USA;-9.5;-108.5;9
FALn;1994;6;USA;-8.5;-112.5;21
FALn;1994;6;USA;-8.5;-111.5;27
FALn;1994;6;USA;-8.5;-110.5;6
FALn;1994;6;USA;-8.5;-109.5;5
FALn;1994;6;USA;-8.5;-106.5;31
FALn;1994;6;USA;-7.5;-110.5;16
FALn;1994;6;USA;-7.5;-105.5;5
FALn;1994;6;USA;-5.5;-103.5;3
FALn;1994;6;USA;-5.5;-102.5;7
FALn;1994;6;USA;-4.5;-103.5;5
FALn;1994;6;USA;6.5;-77.5;2
FALn;1994;6;VEN;9.5;-86.5;1
FALn;1994;6;VEN;9.5;-84.5;2
FALn;1994;7;COL;3.5;-84.5;24
FALn;1994;7;COL;3.5;-83.5;47
FALn;1994;7;COL;4.5;-85.5;7
FALn;1994;7;MEX;9.5;-130.5;2
FALn;1994;7;MEX;9.5;-125.5;5
FALn;1994;7;MEX;10.5;-130.5;2
FALn;1994;7;MEX;10.5;-127.5;10
FALn;1994;7;MEX;10.5;-125.5;1
FALn;1994;7;MEX;21.5;-112.5;25
FALn;1994;7;MEX;24.5;-112.5;1
FALn;1994;7;Other;-8.5;-99.5;12
FALn;1994;7;Other;-8.5;-98.5;4
FALn;1994;7;Other;-7.5;-102.5;3
FALn;1994;7;Other;-7.5;-101.5;3
FALn;1994;7;Other;-6.5;-100.5;1
FALn;1994;7;Other;-6.5;-99.5;2
FALn;1994;7;Other;-6.5;-98.5;9
FALn;1994;7;Other;-5.5;-99.5;3
FALn;1994;7;Other;2.5;-89.5;1
FALn;1994;7;USA;-8.5;-116.5;21
FALn;1994;7;VEN;8.5;-84.5;1
FALn;1994;7;VUT;1.5;-84.5;2
FALn;1994;7;VUT;3.5;-93.5;10
FALn;1994;7;VUT;4.5;-90.5;2
FALn;1994;7;VUT;5.5;-95.5;21
FALn;1994;8;COL;3.5;-84.5;8
